province,district,facility_label,name,HMIS_Code,location,ownership,facility_type,operational_stutus,catchment_population,longitude,latitude
Central,Chibombo,Naluyanda RHC, Naluyanda Rural Health Centre,101030,Rural,GRZ,Rural Health Centre,Yes,,28.19852833,-15.30732167
Central,Chibombo,Namayani HP, Namayani Health Post,101038,Rural,GRZ,Health Post,Yes,,27.94662154,-15.24347156
Central,Chibombo,Shifwankula HP, Shifwankula Health Post,101043,Rural,GRZ,Health Post,Yes,,28.25896833,-15.31165833
Central,Chibombo,Shimukuni RHC, Shimukuni Rural Health Centre,101031,Rural,GRZ,Rural Health Centre,Yes,,27.90300738,-14.76739559
Central,Chibombo,Twalumba RHC, Twalumba Rural Health Centre,101032,Rural,Faith Based,Rural Health Centre,Yes,,28.13944294,-14.99738289
Central,Chisamba,Chikonkomene HP, Chikonkomene Health Post,1012110,Rural,GRZ,Rural Health Centre,Yes,,28.55032583,-14.6798013
Central,Chisamba,Chipembi RHC, Chipembi Rural Health Centre,1012111,Rural,GRZ,Rural Health Centre,Yes,,28.5758404,-14.9323349
Central,Chisamba,Chisamba RHC, Chisamba Rural Health Centre,1012112,Rural,GRZ,Rural Health Centre,Yes,,28.3771939,-14.98342952
Central,Chisamba,Kachele HP, Kachele Health Post,1012222,Rural,GRZ,Health Post,Yes,,28.19205596,-14.76624426
Central,Chisamba,Kanakantapa RHC, Kanakantapa Rural Health Centre,1012219,Rural,GRZ,Rural Health Centre,Yes,,28.59804398,-15.14267748
Central,Chisamba,Kasosolo HP, Kasosolo Health Post,1012221,Rural,GRZ,Health Post,Yes,,28.72988276,-14.48346722
Central,Chisamba,Lifwambula RHC,Lifwambula RHC,1012224,Rural,Private,Rural Health Centre,Yes,,28.57606219,-14.76444272
Central,Chisamba,Liteta District Hospital, Liteta District Hospital,1012220,Rural,GRZ,Level 1 Hospital District,Yes,,28.06305409,-14.78047613
Central,Chisamba,Liteta HAHC, Liteta HAHC,1012001,Rural,GRZ,Rural Health Centre,Yes,,28.06301564,-14.78048755
Central,Chisamba,Malombe RHC, Malombe Rural Health Centre,1012115,Rural,GRZ,Rural Health Centre,Yes,,28.1885479,-14.67870777
Central,Chisamba,Momboshi HP, Momboshi Health post,1012116,Rural,GRZ,Health Post,Yes,,28.3615324,-14.78849295
Central,Chisamba,Mulungushi Agro RHC, Mulungushi Agro Rural Health Centre,1012117,Rural,GRZ,Rural Health Centre,Yes,,28.802055,-14.66049833
Central,Chisamba,Muswishi RHC, Muswishi Rural Health Centre,1012113,Rural,GRZ,Rural Health Centre,Yes,,28.66266021,-14.55653711
Central,Chisamba,Mwantaya HP, Mwantaya Health Post,1012223,Rural,GRZ,Health Post,Yes,,28.73648488,-14.85115785
Central,Chisamba,Mwapula HP, Mwapula Health Post,1012118,Rural,GRZ,Health Post,Yes,,28.75167934,-15.12262769
Central,Chitambo,Chalilo RHC, Chalilo Rural Health Centre,106024,Rural,GRZ,Rural Health Centre,Yes,7918,30.3520426,-12.46252494
Central,Chitambo,Chipundu RHC, Chipundu Rural Health Centre,106011,Rural,GRZ,Health Post,Yes,61660,30.30184455,-12.30490718
Central,Chitambo,Chitambo District Hospital, Chitambo District Hospital,106099,Rural,GRZ,Level 1 Hospital District,Yes,8113,30.63563545,-12.91568577
Central,Chitambo,Chitambo HAHC, Chitambo Hospital Affiliated Health Centre,106089,Rural,GRZ,Rural Health Centre,Yes,8113,30.63487229,-12.91609285
Central,Chitambo,Gibson RHC, Gibson Rural Health Centre,106026,Rural,GRZ,Rural Health Centre,Yes,13813,30.13227791,-12.20044773
Central,Chitambo,Kafinda HP, Kafinda Health Post,106030,Rural,GRZ,Health Post,Yes,2207,30.39274042,-12.6083442
Central,Chitambo,Mapepala RHC, Mapepala Rural Health Centre,106019,Rural,GRZ,Rural Health Centre,Yes,6504,30.13527316,-12.69625314
Central,Chitambo,Mpelembe RHC, Mpelembe Rural Health Centre,106021,Rural,GRZ,Rural Health Centre,Yes,14883,30.16526731,-12.35162182
Central,Chitambo,Muchinka RHC, Muchinka Rural Health Centre,106022,Rural,GRZ,Rural Health Centre,Yes,6166,30.4400436,-12.9373007
Central,Chitambo,Mulaushi HP, Mulaushi Health Post,106028,Rural,GRZ,Health Post,Yes,2207,30.41166902,-12.72657111
Central,Chitambo,Nakatambo RHC, Nakatambo Rural Health Centre,106031,Rural,GRZ,Rural Health Centre,Yes,1558,30.7743028,-12.8527104
Central,Chitambo,Yoram Mwanje HP, Yoramu Mwanje Health Post,106027,Rural,GRZ,Rural Health Centre,Yes,4933,30.3267678,-12.80255344
Central,Itezhi tezhi,Bushinga Rural HP, Bushinga Rural Health Post,8030210,Rural,GRZ,Health Post,Yes,12000,26.05645004,-15.58374765
Central,Itezhi tezhi,Buunga HP, Buunga Health Post,803021,Rural,GRZ,Health Post,Yes,7500,26.25833827,-15.72035205
Central,Itezhi tezhi,Chishila Rural HP, Chishila Rural Health Post,8030991,Rural,GRZ,Health Post,Yes,2514,26.45243125,-15.66171159
Central,Itezhi tezhi,Itezhi-Tezhi District Hospital, Itezhi-Tezhi District Hospital,8030010,Rural,GRZ,Level 1 Hospital District,Yes,96688,26.02657771,-15.73830824
Central,Itezhi tezhi,Itumbi HP, Itumbi Rural Health Post,8030133,Rural,GRZ,Health Post,Yes,2901,26.02075072,-15.50307713
Central,Itezhi tezhi,Kaanzwa RHC, Kaanzwa Rural Health Centre,8030100,Rural,GRZ,Rural Health Centre,Yes,2901,26.10726642,-15.65169849
Central,Itezhi tezhi,Kampumba RHC, Nanzhila Rural Health Centre,8030130,Rural,GRZ,Rural Health Centre,Yes,,26.08728143,-16.07630206
Central,Itezhi tezhi,Kapiri Mposhi District Hospitale, Basanga Rural Health Centre,8030120,Rural,GRZ,Rural Health Centre,Yes,,26.09370973,-15.90006199
Central,Itezhi tezhi,Kapiri UHC, Banamwaze Rural Health Centre,8030180,Rural,GRZ,Rural Health Centre,Yes,,26.59011761,-15.63480391
Central,Itezhi tezhi,Likumbi HP, Ngoma Health Centre,8030110,Rural,GRZ,Rural Health Centre,Yes,,25.95395659,-15.9119805
Central,Itezhi tezhi,Lukomba HP, Lubanda Rural Health Centre,8030150,Rural,GRZ,Rural Health Centre,Yes,,26.37638649,-15.68907227
Central,Itezhi tezhi,Makuzu HP, Makuzu Rurral Health Post,8030132,Rural,GRZ,Health Post,Yes,,26.11557242,-15.97371025
Central,Itezhi tezhi,Masasabi HP, Masasabi Health Post,803022,Rural,GRZ,Health Post,Yes,4834,26.15499656,-15.65868182
Central,Itezhi tezhi,Masemu UHC, Masemu Urban Health Centre,8030990,Rural,GRZ,Rural Health Centre,Yes,25000,26.03320686,-15.73984269
Central,Itezhi tezhi,Mutenda HP, Mutenda Rural Health Post,8030134,Rural,GRZ,Health Post,Yes,2901,26.14423377,-15.4489242
Central,Itezhi tezhi,Muunga RHC, Muunga Rural Health Centre,8030190,Rural,GRZ,Rural Health Centre,Yes,3868,26.97916767,-15.36355962
Central,Itezhi tezhi,Nansenga RHC, Nansenga Rural Health Centre,8030170,Rural,GRZ,Rural Health Centre,Yes,,26.78949228,-15.39517767
Central,Kabwe,Central Police Hq Clinic,Central Police Hq Clinic,102045,Urban,GRZ,Urban Health Centre,Yes,,28.44441493,-14.43578336
Central,Kabwe,Chalilo RHC, Blossom Surgery Clinic,102003,Urban,NGO,Health Post,Yes,,28.44862259,-14.45790931
Central,Kabwe,Chankalamo HP, Chankalamu Health Post,102066,Rural,GRZ,Health Post,Yes,,28.44631351,-14.54168386
Central,Kabwe,Chipundu RHC, Bwacha Urban Health Centre,102010,Urban,GRZ,Urban Health Centre,Yes,,28.4407245,-14.40806894
Central,Kabwe,Chitambo District Hospital, Chowa Urban Health Centre,102027,Urban,GRZ,Urban Health Centre,Yes,,28.4435871,-14.45950618
Central,Kabwe,Chreso Ministries HP, Chreso Ministries Health Post,102051,Peri-Urban,Faith Based,Urban Health Centre,Yes,,28.44615555,-14.45259824
Central,Kabwe,Gibson RHC, Fibale Private Clinic,102002,Peri-Urban,Private,Health Post,Yes,,28.42177328,-14.44844288
Central,Kabwe,Hamdudu HP, Hamdudu Health Post,102063,Rural,GRZ,Health Post,Yes,,28.35119321,-14.63720482
Central,Kabwe,Kabwe General Hospital, Kabwe General Hospital,102088,Urban,GRZ,Level 2 Hospital Provincial,Yes,,28.42955557,-14.43489489
Central,Kabwe,Kabwe Mine Hospital, Kabwe Mine Hospital,102001,Urban,GRZ,Level 2 Hospital Provincial,Yes,,28.43841829,-14.44861473
Central,Kabwe,Kabwemedicalcentre, Kabwe Medical Centre,102072,Urban,Private,Urban Health Centre,Yes,,28.44936917,-14.44088197
Central,Kabwe,Kalwelwe Health Center, Kalwelwe Health Centre,102057,Rural,GRZ,Health Post,Yes,,28.34906626,-14.70845376
Central,Kabwe,Kamakuti HP, Kamakuti Health Post,102061,Rural,GRZ,Health Post,Yes,,28.48275544,-14.51228085
Central,Kabwe,Kangomba HP, Kangomba Health Post,102039,Rural,GRZ,Urban Health Centre,Yes,,28.40934975,-14.52651004
Central,Kabwe,Kasanda UHC, Kasanda Urban Health Centre,102028,Urban,GRZ,Urban Health Centre,Yes,,28.42630423,-14.4554119
Central,Kabwe,Kasavasa RHC, Kasavasa Rural Health Centre,102035,Rural,GRZ,Urban Health Centre,Yes,,28.37785131,-14.57748609
Central,Kabwe,Katondo UHC, Katondo Urban Health Centre,102041,Urban,GRZ,Health Post,Yes,,28.47174593,-14.45668591
Central,Kabwe,Kawama UHC , Kawama Urban Health Centre (Kabwe),102033,Rural,GRZ,Urban Health Centre,Yes,,28.42841636,-14.42039055
Central,Kabwe,Mahatma Ghandhi Memorial UHC, Mahatma Ghandhi Memorial Urban Health Centre,102015,Urban,GRZ,Urban Health Centre,Yes,,28.46149686,-14.43556647
Central,Kabwe,Makululu UHC, Makululu Urban Health Centre,102016,Peri-Urban,GRZ,Urban Health Centre,Yes,,28.41361691,-14.44525562
Central,Kabwe,Makupu A HP, Makupu A Health Post,102062,Peri-Urban,GRZ,Health Post,Yes,,28.31035,-14.41594833
Central,Kabwe,Makupu B HP, Makupu B Health Post,102009,Peri-Urban,GRZ,Health Post,Yes,,28.323515,-14.38963
Central,Kabwe,Mpima Dairy RHC, Mpima Dairy Rural Health Centre,102037,Peri-Urban,GRZ,Health Post,Yes,,28.57785314,-14.36311404
Central,Kabwe,Mukobeko Township UHC, Mukobeko Township Urban Health Centre,102019,Urban,GRZ,Rural Health Centre,Yes,,28.40915802,-14.41913827
Central,Kabwe,Mukuni Insurance Clinic Limited,Mukuni Insurance Clinic Limited,102073,Urban,Private,Urban Health Centre,Yes,,28.44835087,-14.44128554
Central,Kabwe,Munga HP, Munga Health Post,102044,Rural,GRZ,Health Post,Yes,,28.23481328,-14.46762645
Central,Kabwe,Nakoli UHC, Nakoli Urban Health Centre,102020,Urban,GRZ,Rural Health Centre,Yes,,28.44984616,-14.40780905
Central,Kabwe,Natuseko UHC, Natuseko Urban Health Centre,102021,Urban,GRZ,Health Post,Yes,,28.459674,-14.40304803
Central,Kabwe,Ngungu UHC, Ngungu Urban Health Centre,102022,Urban,GRZ,Urban Health Centre,Yes,,28.44410144,-14.3927912
Central,Kabwe,Nkhrumah Teachers College HP, Nkhrumah Teachers College Health Post,102032,Urban,Private,Health Post,Yes,,28.46678511,-14.44642716
Central,Kabwe,Nkumbu UHC,Nkumbu UHC,102075,Urban,NGO,Urban Health Centre,Yes,,28.40001967,-14.44860095
Central,Kabwe,Pollen UHC, Pollen Urban Health Centre,102023,Urban,GRZ,Urban Health Centre,Yes,,28.46286111,-14.44116856
Central,Kabwe,Providence Medical Centre, Providence Medical Centre,102060,Urban,Private,Urban Health Centre,Yes,,28.44217351,-14.43859277
Central,Kabwe,Railway Surgery UHC, Railway Surgery Urban Health Centre,102012,Urban,GRZ,Urban Health Centre,Yes,,28.44213667,-14.447915
Central,Kabwe,Ranchhod Hospice, Ranchhod Hospice,102046,Urban,Private,Urban Health Centre,Yes,,28.46455903,-14.45175912
Central,Kapiri Mposhi,Central DiagNostic Systems And Distributors,Central DiagNostic Systems And Distributors,103037,Urban,Private,Urban Health Centre,Yes,,28.68649461,-13.97346038
Central,Kapiri Mposhi,Chambulumina HP, Chambulumina Health Post,103049,Rural,GRZ,Health Post,Yes,,28.7854731,-13.92981283
Central,Kapiri Mposhi,Chankomo RHC, Chankomo Rural Health Centre,103002,Rural,GRZ,Rural Health Centre,Yes,,29.04772057,-13.90257868
Central,Kapiri Mposhi,Chapusha HP, Chapusha Health post,103027,Rural,GRZ,Health Post,Yes,,28.18036041,-14.05364453
Central,Kapiri Mposhi,Chawama UHC, Chawama Urban Health Centre,103022,Urban,GRZ,Urban Health Centre,Yes,,28.66728068,-13.94075496
Central,Kapiri Mposhi,Chibwe RHC, Chibwe Rural Health Centre,103003,Rural,GRZ,Rural Health Centre,Yes,,28.70979474,-14.31581348
Central,Kapiri Mposhi,Chilumba RHC, Chilumba Rural Health Centre,103004,Rural,GRZ,Rural Health Centre,Yes,,28.19346565,-14.3963015
Central,Kapiri Mposhi,Chipepo RHC, Chipepo Rural Health Centre,103006,Rural,GRZ,Rural Health Centre,Yes,,28.10364341,-14.11263908
Central,Kapiri Mposhi,Chishinka RHC, Chishinka Rural Health Centre,103030,Rural,GRZ,Health Post,Yes,,29.08329873,-14.31196041
Central,Kapiri Mposhi,Chitaba RHC, Chitaba Rural Health Centre,103026,Rural,GRZ,Health Post,Yes,,28.34523024,-14.06185319
Central,Kapiri Mposhi,Ilungu HP,Ilungu Health Post,103038,Rural,GRZ,Health Post,Yes,,28.90186144,-14.66403089
Central,Kapiri Mposhi,Kabaka HP,Kabaka Health Post,103039,Rural,GRZ,Health Post,Yes,,28.47791507,-13.93723762
Central,Kapiri Mposhi,Kabwale HP,Kabwale Health Post,103040,Rural,GRZ,Health Post,Yes,,28.52823307,-13.94108546
Central,Kapiri Mposhi,Kafinda RHC, Kafinda Rural Health Centre,103029,Rural,GRZ,Health Post,Yes,,29.02766264,-14.13169384
Central,Kapiri Mposhi,Kakulu RHC, Kakulu Rural Health Centre,103007,Rural,GRZ,Rural Health Centre,Yes,,28.60015341,-14.08824112
Central,Kapiri Mposhi,Kampumba RHC, Kampumba Rural Health Centre,103008,Rural,GRZ,Rural Health Centre,Yes,,29.00553645,-14.56262318
Central,Kapiri Mposhi,Kapiri Mposhi District Hospitale, Kapiri Mposhi District Hospital,103001,Urban,GRZ,Level 1 Hospital District,Yes,,28.6700521,-13.89647402
Central,Kapiri Mposhi,Kapiri UHC, Kapiri Urban Health Centre,103024,Urban,GRZ,Urban Health Centre,Yes,,28.67745948,-13.96645138
Central,Kapiri Mposhi,Kashitu HP,Kashitu Health Post,103041,Rural,GRZ,Health Post,Yes,,28.66834907,-13.70991544
Central,Kapiri Mposhi,Kaswende HP,Kaswende Health Post,103036,Rural,GRZ,Health Post,Yes,,27.99661917,-14.43643665
Central,Kapiri Mposhi,Katukwe HP,Katukwe Health Post,103042,Rural,GRZ,Health Post,Yes,,28.0603448,-13.9523709
Central,Kapiri Mposhi,Kawama UHC, Kawama Urban Health Centre (Kapiri),103021,Urban,GRZ,Urban Health Centre,Yes,,28.68939367,-13.98783293
Central,Kapiri Mposhi,Likumbi HP, Likumbi Health Post,103034,Rural,GRZ,Health Post,Yes,,28.94341031,-14.38667069
Central,Kapiri Mposhi,Luanshimba RHC, Luanshimba Rural Health Centre,103009,Rural,GRZ,Rural Health Centre,Yes,,28.57162795,-14.22412078
Central,Kapiri Mposhi,Lukanda B HP,Lukanda B Health Post,103043,Rural,GRZ,Health Post,Yes,,28.59032869,-13.89721265
Central,Kapiri Mposhi,Lukomba HP, Lukomba Health Post,103032,Rural,GRZ,Rural Health Centre,Yes,,28.90010469,-13.87816455
Central,Kapiri Mposhi,Lunchu B RHC, Lunchu B Rural Health Centre,103028,Rural,GRZ,Rural Health Centre,Yes,,28.88423202,-14.00112186
Central,Kapiri Mposhi,Lunsemfwa RHC, Lunsemfwa Rural Health Centre,103010,Rural,GRZ,Rural Health Centre,Yes,,29.12248596,-14.50682938
Central,Kapiri Mposhi,Material HP,Material Health Post,103044,Urban,GRZ,Health Post,Yes,,28.67347705,-13.97695174
Central,Kapiri Mposhi,Mpunde RHC, Mpunde Rural Health Centre,103014,Rural,Faith Based,Rural Health Centre,Yes,,28.21613507,-14.20976302
Central,Kapiri Mposhi,Mukonchi RHC, Mukonchi Rural Health Centre,103011,Rural,GRZ,Rural Health Centre,Yes,,28.81762467,-14.26338543
Central,Kapiri Mposhi,Mulungushi RHC, Mulungushi Rural Health Centre,103013,Rural,Private,Rural Health Centre,Yes,,28.84413544,-14.73048601
Central,Kapiri Mposhi,Mulungushi University Rhc, Mulungushi University Clinic,103017,Rural,GRZ,Rural Health Centre,Yes,,28.55965264,-14.29336066
Central,Kapiri Mposhi,Mutaba UHC, Mutaba Urban Health Centre,103035,Urban,GRZ,Urban Health Centre,Yes,,28.66832019,-13.92537629
Central,Kapiri Mposhi,Ndeke UHC, Ndeke Urban Health Centre,103023,Urban,GRZ,Urban Health Centre,Yes,,28.69249328,-13.96735774
Central,Kapiri Mposhi,Nkole RHC, Nkole Rural Health Centre,103016,Rural,GRZ,Rural Health Centre,Yes,,28.80738133,-13.76562463
Central,Kapiri Mposhi,S & F Surgery,S & F Surgery,103045,Urban,Private,Health Post,Yes,,28.68898439,-13.96697699
Central,Kapiri Mposhi,Shamputa HP,Shamputa Health Post,103046,Rural,GRZ,Health Post,Yes,,27.87306961,-14.04701073
Central,Kapiri Mposhi,St Pauls RHC, St Pauls Rural Health Centre,103018,Rural,Faith Based,Rural Health Centre,Yes,,28.61943228,-14.3335127
Central,Kapiri Mposhi,Tazara UHC, Tazara Urban Health Centre,103025,Urban,GRZ,Health Post,Yes,,28.68066046,-13.95686479
Central,Kapiri Mposhi,Waya RHC, Waya Rural Health Centre,103019,Rural,GRZ,Rural Health Centre,Yes,,28.00400128,-14.35151217
Central,LuaNo,Chikupili RHC, Chikupili Rural Health Centre,104022,Rural,GRZ,Rural Health Centre,Yes,1850,29.24262326,-14.0773279
Central,LuaNo,Kampelembe HP, Kampelembe Health Post,104032,Rural,GRZ,Health Post,Yes,3298,29.3225169,-14.16460036
Central,LuaNo,KanYesha Health Centre, KanYesha Health Centre,104036,Rural,GRZ,Rural Health Centre,Yes,1349,29.40500915,-14.46617765
Central,LuaNo,Kaundula RHC, Kaundula Rural Health Centre,104026,Rural,GRZ,Rural Health Centre,Yes,4204,29.66103296,-14.19322751
Central,LuaNo,Mboroma RHC, Mboroma Rural Health Centre,104017,Rural,GRZ,Rural Health Centre,Yes,3598,30.13253446,-14.11731392
Central,LuaNo,Mkushi Copper Mine New HP,Mkushi Copper Mine New Health Post,104044,Rural,GRZ,Health Post,Yes,8060,29.15570654,-13.95348681
Central,LuaNo,Mkushi Copper Mine RHC, Mkushi Copper Mine Rural Health Centre,104024,Rural,GRZ,Health Post,Yes,8060,29.14873709,-13.95407746
Central,LuaNo,Nyenje Health Centre, Old Mkushi Rural Health Centre,104021,Rural,GRZ,Rural Health Centre,Yes,3747,29.3972172,-14.4162421
Central,LuaNo,Tuyu Health Centre, Tuyu Rural Health Centre,104035,Rural,GRZ,Health Post,Yes,1649,29.39664862,-13.62459665
Central,Mkushi,Chalata RHC, Chalata Rural Health Centre,104010,Rural,GRZ,Rural Health Centre,Yes,,29.68313706,-13.55097768
Central,Mkushi,Changilo HP, Changilo Health Post,104053,Rural,GRZ,Health Post,Yes,,29.61581267,-13.54201185
Central,Mkushi,Chengelo  RHC, Chengelo Clinic,104030,Rural,Private,Rural Health Centre,Yes,,29.60589445,-13.63561659
Central,Mkushi,Chibefwe UHC, Chibefwe Rural Health Centre,104011,Urban,GRZ,Urban Health Centre,Yes,,29.39513179,-13.61692516
Central,Mkushi,Chikabile  HP,Chikabile  Health Post,104059,Rural,GRZ,Health Post,No,,29.73892179,-13.84888074
Central,Mkushi,Chisanga HP, Chisanga Rural Health Centre,104040,Rural,Faith Based,Health Post,Yes,1124,28.89901444,-13.58670106
Central,Mkushi,Chitina HP, Chitina Health Post,104043,Rural,GRZ,Health Post,Yes,,29.11293295,-13.65550523
Central,Mkushi,Fiwila Mission, Fiwila Rural Health Centre,104014,Rural,Faith Based,Rural Health Centre,Yes,5139,29.60594608,-13.97088547
Central,Mkushi,Kabengeshi  HP, Kabengeshi Rural Health Post,104039,Rural,GRZ,Health Post,Yes,1445,29.64246579,-13.87354743
Central,Mkushi,Kakushi HP, Kakushi Health Post,104028,Rural,GRZ,Health Post,Yes,3183,29.63100202,-13.80320268
Central,Mkushi,Kasalamakanga  HP,Kasalamakanga  Health Post,104051,Rural,GRZ,Health Post,No,964,29.49422579,-13.60497407
Central,Mkushi,Kasokota HP, Kasokota Health Post,104070,Rural,GRZ,Health Post,Yes,,29.17005287,-13.70510688
Central,Mkushi,Katuba HP,Katuba Health Post,104045,Peri-Urban,GRZ,Health Post,Yes,,29.26345402,-13.67694289
Central,Mkushi,Lesa Wesu UHC, Lesa Wesu Private Clinic,104056,Urban,Private,Urban Health Centre,Yes,,29.38676375,-13.61850977
Central,Mkushi,Lilanda HP,Lilanda Health Post,104049,Rural,GRZ,Health Post,No,1606,29.63261629,-13.72600753
Central,Mkushi,Luashimba RHC, Luanshimba Rural Health Centre (Mkushi),104015,Rural,Military,Rural Health Centre,Yes,,29.58669494,-13.70575496
Central,Mkushi,Malubila HP,Malubila Health Post,104041,Rural,GRZ,Health Post,Yes,,29.44733709,-13.79811575
Central,Mkushi,Masansa RHC, Masansa Rural Health Centre,104016,Rural,GRZ,Rural Health Centre,Yes,24000,29.38708874,-13.94506285
Central,Mkushi,Mikunka  HP, Mikunku Rural Health centre,104038,Rural,GRZ,Health Post,Yes,2409,29.04339071,-13.79092592
Central,Mkushi,Miloso HP, Miloso Health Post,104027,Rural,GRZ,Health Post,Yes,4015,29.54635084,-13.79749498
Central,Mkushi,Mkushi District Hospital, Mkushi District Hospital,104001,Urban,GRZ,Level 1 Hospital District,Yes,,29.3952755,-13.61662277
Central,Mkushi,Mkushi General Hospital,Mkushi General Hospital,104081,Peri-Urban,GRZ,Level 1 Hospital District,Yes,,29.38395693,-13.61431828
Central,Mkushi,Moffat RHC,Moffat RHC,104055,Rural,Private,Rural Health Centre,Yes,,29.60774559,-13.62193251
Central,Mkushi,Mulundu UHC, Mulundu Health Post,104042,Peri-Urban,GRZ,Urban Health Centre,Yes,,29.40963523,-13.6139819
Central,Mkushi,Mulungwe HP, Mulungwe Rural Health Centre,104080,Rural,GRZ,Health Post,Yes,2730,29.81265346,-13.91839229
Central,Mkushi,Munsakamba RHC, Munsakamba Health Post,104029,Rural,GRZ,Rural Health Centre,Yes,,29.35048472,-13.56132082
Central,Mkushi,Musofu  RHC, Musofu Rural Health Centre,104019,Rural,GRZ,Rural Health Centre,Yes,6745,29.04128275,-13.51393436
Central,Mkushi,Mutende Clinic HP, Mutende Private Clinic,104060,Urban,Private,Health Post,Yes,,29.39184831,-13.62533905
Central,Mkushi,Nambala RHC, Nambo Rural Health Post,104037,Rural,GRZ,Health Post,Yes,3533,29.5536648,-13.60700035
Central,Mkushi,Nkolonga RHC, Nkolonga Health Post,104025,Rural,GRZ,Rural Health Centre,Yes,,29.5786697,-13.58975593
Central,Mkushi,Nkumbi RHC, Nshinso Rural Health Centre,104023,Rural,GRZ,Rural Health Centre,Yes,6585,29.75379791,-13.61743083
Central,Mkushi,Nkumbi RHC, Nkumbi Rural Health Centre,104020,Rural,GRZ,Rural Health Centre,Yes,,29.06929635,-13.7431272
Central,Mkushi,Ntekete HP, Nyenje Health Post,104047,Rural,GRZ,Health Post,Yes,2051,29.57829963,-14.13105098
Central,Mkushi,Ntekete RHC,Ntekete RHC,104058,Rural,GRZ,Rural Health Centre,Yes,,29.75831603,-13.54476984
Central,Mkushi,Serenje HAHC, Shaibila Health Post,104046,Rural,GRZ,Health Post,Yes,,29.56677804,-14.01746911
Central,Mkushi,Tamo RHC,Tamo RHC,104054,Rural,Private,Rural Health Centre,Yes,,29.43344057,-13.63859015
